"SERIAL","QUESTNNR","STARTED","LASTDATA","SD01","SD02_01","SD23","SD10","SD40","SD41","SD41_03","SD41_04","SD41_05","SD39","SD43","SD44","SD45","SD46","SD47","SD48","SD26","SD13","SD14","SD14_01","SD14_02","SD14_03","SD14_04","SD14_05","SD14_06","SD14_07","SD14_08","SD29","SD29_01","SD29_02","SD29_03","SD29_04","SD29_05","SD29_06","SD29_07","SD29_08","SD16","CV04","CV03","CV07","CV06","CV08","SD30","SD31_01","SD32","SD33","SD27","CV09","SD37_01","SD37_02","SD37_03","SD37_04","AC02_01","AC02_02","AC02_03","AC02_04","AC02_05","AC02_06","AC02_07","AC02_08","AC02_09","AC02_10","SQ02_01","SQ02_02","SQ02_03","SQ02_04","SQ02_08","SQ02_09","SQ02_10","SQ02_13","SQ02_15","SQ02_16","SQ02_17","SQ02_20","SQ02_21","SQ02_24","SQ02_25","SQ02_21_re","SQ02_25_re","emprob","hyper","prosoc","MC01","MC05_01","MC09","MC02","MC06_01","MC10","MC03","MC07_01","MC11","MC04","MC08_01","MC12","PN01_01","PN01_02","PN01_03","PN01_04","PN01_05","PN01_06","PN01_07","PN01_08","PN01_09","PN02_01","PN02_02","PN02_03","PN02_04","PN02_05","PN02_06","PN02_07","PN02_08","PN02_09","aut_sat","com_sat","rel_sat","aut_dis","com_dis","rel_dis","PS01_01","PS01_02","PS01_03","PS01_04","PS01_05","PS01_06","PS01_07","PS01_08","PS01_09","PS01_10","PS01_04_re","PS01_05_re","PS01_07_re","PS01_08_re","pss","DP03_01","DP03_02","DP03_03","DP03_04","DP03_05","DP03_06","DP03_07","DP03_08","DP03_09","DP03_10","DP04_11","DP04_12","DP04_13","DP04_14","DP04_15","DP04_16","DP04_17","DP04_18","DP04_19","DP04_20","DP03_04_re","DP03_08_re","DP04_12_re","DP04_16_re","cesd","FK01_01","FK01_04","FK01_05","FK01_06","FK01_07","FK01_09","FK01_10","FK01_11","FK01_12","FK01_14","FK02_15","FK02_17","FK02_19","FK02_20","FK02_21","FK02_23","FK02_24","FK02_27","FK02_29","FK01_04_re","FK01_05_re","FK02_20_re","FK01_06_re","FK01_10_re","FK02_19_re","FK02_29_re","ST01_01","ST01_02","ST01_03","ST01_04","ST01_05","ST01_06","ST01_07","ST01_08","ST01_09","ST01_10","ST02_01","ST02_02","ST02_03","ST02_04","ST02_05","ST02_06","ST02_07","ST02_08","ST02_09","ST02_10","ST01_01_re","ST01_02_re","ST01_05_re","ST01_08_re","ST01_10_re","ST02_01_re","ST02_05_re","ST02_06_re","ST02_09_re","ST02_10_re","stai","VS01_01","VS01_02","VS01_03","VS01_04","VS01_05","VS01_06","VS01_07","VS01_02_re","vitality","LO02_02","LO02_03","LO02_09","LO02_11","LO02_14","LO02_15","LO02_17","LO02_18","LO02_02_re","LO02_09_re","LO02_15_re","ucla","LS01_01","LS01_02","LS01_03","LS01_04","LS01_05","swls","PW01_01","PW01_02","PW01_03","PW01_04","PW01_05","PW01_06","PW01_07","PW01_08","PW02_09","PW02_10","PW02_11","PW02_12","PW02_13","PW02_14","PW02_15","PW02_16","PW01_01_re","PW01_03_re","PW01_08_re","PW02_10_re","PW02_11_re","pswq","NE01_01","NE01_02","NE01_03","NE01_04","NE01_05","NE01_06","NE01_07","NE02_08","NE02_09","NE02_10","NE02_11","NE02_12","NE02_13","NE02_14","NE03_15","NE03_16","NE03_17","NE03_18","NE03_19","NE03_20","NE03_21","NE01_01_re","NE01_02_re","NE02_08_re","NE02_09_re","NE02_11_re","NE02_12_re","NE03_17_re","NE03_21_re","extra","agree","consc","neurot","open","CV05_01","CV05_02","CV05_03","CV05_04","CV05_05","CV11_01","CV11_02","CV11_03","CV11_04","CV11_05","CV11_06","CV11_07","CV11_08","CV11_09","CV11_10","CV11_11","CV11_12","CV11_13","CV11_14","CV11_15","CV11_16","CV11_01_re","CV11_06_re","CV11_07_re","CV11_09_re","CV11_10_re","pasa_threat","pasa_chall","pasa_sc","pasa_control","pasa_pa","pasa_sa","pasa_stress","state"
"47Mok8kAwgoPuEl","Baseline","2020-03-30 13:03:16","2020-03-30 14:04:42",1,34,4,8,5,1,TRUE,FALSE,FALSE,4,2,2,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,11,1,3,1,1,3,NA,NA,NA,NA,NA,2,20,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,NA,NA,NA,NA,NA,NA,3,5,3,3,3,3,3.66666666666667,5,5,5,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bayern"
"3g7GMpekGj6vQ4t","Baseline","2020-03-27 16:43:50","2020-03-27 17:05:18",1,46,4,8,6,1,TRUE,FALSE,FALSE,4,2,2,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,11,1,1,1,1,2,7,2,1,6,4,4,NA,14,NA,4,4,4,2,5,4,5,3,1,3,2,2,1,NA,1,3,1,2,3,2,NA,2,2,1,1,2,3,2,6,6.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,1,1,2,5,2,4,5,5,3,3,4,5,2,7,1,1.33333333333333,2.33333333333333,4.66666666666667,5,4.33333333333333,2.33333333333333,6,6,7,3,3,6,4,3,7,1,5,5,4,5,5.2,3,1,3,2,4,4,4,1,1,1,2,1,4,1,1,1,1,2,1,4,3,4,4,4,32,5,1,1,1,4,4,1,4,4,4,4,5,1,1,3,4,3,2,1,5,5,5,5,5,5,5,1,2,4,4,1,3,3,1,3,1,2,3,3,3,1,1,3,3,1,1,4,3,4,4,4,3,4,4,4,4,3.5,4,4,2,4,4,5,4,4,3.85714285714286,3,1,5,1,1,6,1,6,5,3,2,2.5,7,7,7,7,7,7,4,1,4,2,1,3,3,3,1,1,5,4,4,2,2,1,2,2,3,5,1,2.3125,4,4,4,3,2,2,4,3,1,4,3,4,4,3,4,3,5,5,3,3,2,2,2,3,5,3,2,1,4,2.5,2.25,4,3.5,3.4,2,6,5,7,6,6,6,6,6,6,1,1,7,3,1,2,2,5,5,3,3,2,7,7,5,7,4.5,6.25,4.5,4.5,5.375,4.5,0.875,"Bremen"
"ozA9HSWpeSXWdZS","Baseline","2020-03-30 14:02:40","2020-03-30 14:18:07",1,27,2,8,5,1,TRUE,FALSE,FALSE,3,1,2,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,NA,1,NA,2,7,2,1,1,1,NA,NA,NA,NA,3,3,4,4,4,2,3,7,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,5,5,6,4,3.33333333333333,3,3.33333333333333,4.33333333333333,4,4,5,4,4,5,5,5,5,5,5,4,3,3,3,4.1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,1,30,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,2,2,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,4,4,4,4,2.5,5,5,5,5,5,5,5,3,4.71428571428571,5,4,4,5,5,5,5,5,3,4,3,4.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,4,4,2.875,2,3,3,3,1,1,1,3,2,2,2,2,2,3,2,2,2,2,2,1,1,4,3,3,4,4,4,4,5,2.75,3,2.5,3,2.2,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,5,5,4,5,4,4,3,3,4,3,4.25,3.5,4,4.5,3.875,4.25,-0.375,"Baden-Württemberg"
"v6LGpivm3n8xg0A","Baseline","2020-03-30 16:14:46","2020-03-30 16:32:40",1,42,4,8,7,2,FALSE,TRUE,TRUE,5,1,3,1,1,1,1,2,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,8,8,1,1,1,1,1,7,2,1,3,4,9,NA,12,NA,6,3,1,7,2,7,2,7,6,5,2,2,1,3,1,2,2,1,1,1,3,3,2,2,3,2,1,1,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,2,7,4,6,7,6,7,1,1,6,6,4,2,2,2,2,5,4.66666666666667,7,1.33333333333333,2,4.66666666666667,2,5,5,4,4,3,5,5,3,2,4,4,3,3,3.4,2,1,1,3,2,1,1,2,1,1,3,3,1,1,1,2,1,2,1,1,2,3,2,3,11,4,5,1,3,2,2,4,5,2,4,2,5,4,3,2,4,2,5,3,1,5,3,3,2,2,3,3,3,2,2,3,2,2,3,2,3,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2.05,5,2,5,4,4,4,4,6,4.57142857142857,6,1,5,1,2,5,1,3,2,3,3,2,5,6,6,5,5,5.4,5,2,4,3,3,4,4,3,4,1,1,4,4,3,2,2,1,2,3,5,5,3.1875,4,4,3,3,5,4,4,4,3,3,2,3,2,2,4,4,3,3,3,4,2,2,2,2,3,4,3,3,4,3.5,3,2.5,2.75,4,5,5,5,5,5,5,5,2,4,4,2,2,6,4,4,4,4,3,3,3,3,3,6,6,4,4,3.5,4.5,3.75,4.25,4,4,0,"Hessen"
"vfovruXAAtsnnvN","Baseline","2020-03-30 18:07:35","2020-03-30 18:22:05",1,44,1,8,6,3,TRUE,TRUE,TRUE,3,1,2,1,1,1,1,2,2,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,5,3,NA,1,NA,2,8,2,1,1,1,17,NA,24,NA,5,5,3,5,5,5,6,7,3,5,2,3,2,NA,2,NA,2,1,3,2,NA,2,2,2,1,2,3,4,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,6,6,5,6,5,7,7,5,3,4,2,6,5,5,1,4,4.33333333333333,6.66666666666667,6,4.66666666666667,3.66666666666667,3,7,6,4,2,6,4,4,6,2,4,6,4,4,4.8,4,2,2,3,4,2,4,3,1,2,3,3,4,4,2,3,1,2,2,2,2,2,2,2,29,1,1,1,1,4,4,2,4,2,4,3,5,2,1,2,5,2,3,2,5,5,5,5,4,4,4,3,1,1,3,1,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,4,4,3,3,3,3,3,3,3,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bayern"
"zzs4ImlOo2uWBlE","Baseline","2020-03-30 19:29:15","2020-03-30 20:13:36",2,41,4,3,5,1,TRUE,FALSE,FALSE,6,2,4,1,1,1,1,4,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,6,5,1,3,7,5,2,6,1,1,6,2,5,NA,10,NA,7,4,4,5,6,6,6,3,6,6,1,3,1,2,NA,3,2,2,3,NA,3,NA,2,NA,2,2,2,2.5,7,6.25,1,9,3,1,12,4,NA,NA,NA,NA,NA,NA,3,2,2,1,1,6,6,1,2,6,1,1,1,6,1,1,5,4,3.66666666666667,2.66666666666667,3.66666666666667,2.66666666666667,2.66666666666667,1.33333333333333,7,5,5,2,1,2,1,4,3,3,6,7,7,4,4.9,2,2,1,4,4,2,2,4,1,2,2,3,1,1,1,4,1,2,1,1,1,1,2,1,11,4,1,1,1,2,4,4,4,5,3,5,4,2,1,2,4,4,4,1,5,5,5,5,2,4,5,4,3,2,3,3,1,2,3,2,3,3,2,1,1,3,3,4,2,2,3,1,2,2,2,2,2,2,2,3,2,2,6,2,5,6,7,5,6,6,5.85714285714286,3,1,6,1,1,1,2,1,5,2,7,2.5,3,4,6,3,2,3.6,2,2,2,4,4,3,4,3,1,3,3,4,4,2,1,1,4,4,3,3,3,2.9375,5,1,5,2,4,3,5,2,3,3,5,4,5,2,2,3,3,3,3,3,3,1,5,4,3,1,2,3,3,2,3.75,4.25,2.5,3,7,6,7,5,6,2,6,6,5,6,6,5,5,4,2,4,5,6,5,3,6,6,2,3,4,6,5.5,4.75,4,5.25,5.125,4.625,0.5,"Hessen"
"FC3uTmGsrqdhtUd","Baseline","2020-03-30 19:31:57","2020-03-30 20:00:34",1,43,4,7,6,1,TRUE,FALSE,FALSE,4,2,2,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,7,8,1,3,1,1,1,8,2,1,4,1,4,0,15,0,6,1,1,4,6,6,1,6,2,3,2,3,1,3,1,3,1,2,2,2,3,3,3,2,3,1,1,3,3,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,4,1,1,1,7,4,7,7,7,1,4,4,7,4,1,4,2,3,6,7,3,2.33333333333333,7,7,7,4,1,7,7,2,7,4,4,7,1,6,5.7,3,1,2,1,3,2,2,3,1,2,3,2,1,1,1,3,1,2,2,4,4,2,3,2,22,5,1,1,3,1,1,3,1,2,4,2,5,3,1,4,5,2,4,2,5,5,5,3,3,3,4,2,3,4,4,1,4,4,1,4,3,4,4,2,3,1,1,3,4,2,2,3,2,4,4,2,1,4,4,3,3,3.3,3,2,1,4,4,3,4,6,3.57142857142857,2,1,5,6,6,2,1,1,6,3,6,3.75,6,7,7,7,2,5.8,5,4,1,4,4,4,4,1,3,1,5,5,5,5,4,5,1,5,5,5,1,4,1,2,5,5,5,5,5,3,3,5,1,1,5,5,5,5,5,5,2,5,1,5,4,3,3,5,5,1,5,5,3.75,4.5,3.75,5,2,7,7,7,7,1,7,1,4,7,1,7,7,4,4,4,6,6,6,3,7,7,7,1,4,4,6,6,2.25,6,6,4.125,1.875,"Berlin"
"qPcqr00poR84HZX","Baseline","2020-03-30 19:47:46","2020-03-30 20:07:18",1,41,5,8,5,2,TRUE,TRUE,FALSE,4,1,3,1,1,1,1,2,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,1,NA,1,NA,1,8,2,1,4,1,3,30,36,NA,4,1,5,3,4,3,4,4,5,3,2,3,1,2,1,3,2,2,3,2,2,1,2,2,1,2,3,3,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,2,2,1,4,7,5,5,2,1,4,7,1,1,1,1.33333333333333,3.33333333333333,3.66666666666667,5.66666666666667,1.33333333333333,1.66666666666667,1,3,4,4,2,3,6,6,4,1,4,6,2,2,3,1,1,1,3,2,2,3,2,1,1,2,3,3,3,1,1,1,1,1,2,2,3,2,4,17,3,1,1,2,3,3,1,4,3,4,4,4,1,1,4,4,4,3,3,5,5,5,4,5,5,3,3,2,2,1,2,1,2,1,2,2,3,1,2,2,2,2,2,2,2,2,2,3,3,4,3,2,3,3,3,3,2.3,6,4,5,7,6,5,6,4,5.57142857142857,4,1,7,1,4,4,1,1,4,1,4,2.125,6,7,7,6,5,6.2,1,1,3,2,2,2,1,4,1,3,4,1,1,1,1,3,5,3,2,3,2,1.9375,1,2,3,1,5,5,4,2,4,5,1,5,5,1,5,5,4,5,1,5,1,5,4,4,2,5,1,2,5,5,2.75,4.25,1.25,5,4,4,6,7,7,5,6,7,3,5,1,1,7,5,2,4,4,5,6,4,7,3,7,7,3,6,4,6.25,5.5,5.25,5.125,5.375,-0.25,"Bayern"
"dhfOr2DvYIDwF9Y","Baseline","2020-03-30 20:46:02","2020-03-30 22:18:28",2,46,5,7,3,1,TRUE,FALSE,FALSE,3,1,3,1,1,1,1,3,3,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,NA,7,NA,2,14,7,5,6,6,5,NA,36,NA,1,6,4,1,5,1,7,1,4,7,3,2,1,1,2,3,1,2,2,3,3,3,3,2,3,1,1,5,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,4,6,7,6,5,6,5,7,5,3,1,7,6,2,5,6,6,6.66666666666667,5.66666666666667,6,3.66666666666667,3.33333333333333,NA,5,6,4,5,5,6,3,4,3,4,3,2,5,4.11111111111111,3,2,1,2,2,3,4,2,1,4,4,1,1,2,4,1,3,4,3,4,3,3,4,4,39,5,4,5,3,4,5,4,3,4,5,5,5,2,2,4,5,4,3,3,2,1,4,3,2,4,3,4,4,4,4,3,4,4,1,4,1,3,4,3,4,4,1,3,2,1,1,1,1,2,4,4,2,1,4,4,4,3.15,1,6,1,1,5,6,1,2,2.42857142857143,7,2,6,7,7,2,7,7,1,2,6,4.875,1,2,4,5,6,3.6,1,5,4,5,4,5,5,4,4,1,3,3,2,4,3,4,5,2,2,5,3,3.8125,3,2,3,4,3,1,4,3,2,3,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,3,4,NA,NA,2.33333333333333,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hessen"
"jYeCEPGGRVKZS1o","Baseline","2020-03-30 21:31:30","2020-03-30 21:43:14",1,36,3,8,6,1,TRUE,FALSE,FALSE,5,2,3,1,1,1,1,2,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,11,11,1,1,1,5,1,9,4,1,4,4,5,NA,20,NA,5,3,3,6,3,6,3,4,1,6,3,1,1,1,1,3,1,1,1,2,3,2,3,1,2,1,2,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,4,6,6,6,7,5,3,1,1,4,1,1,4,2,3.66666666666667,4.66666666666667,5.33333333333333,3,2.66666666666667,1.33333333333333,5,5,4,5,2,5,5,5,5,1,3,6,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Berlin"
"zJGlZN8o6pWREJe","Baseline","2020-03-31 07:34:07","2020-03-31 07:54:12",2,46,4,8,8,2,FALSE,TRUE,TRUE,7,2,3,3,1,1,1,3,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,12,12,1,1,1,1,1,10,5,5,2,6,2,0,4,0,5,4,3,6,2,7,3,4,1,3,3,1,1,3,1,3,2,1,1,1,3,1,2,1,3,2,1,0,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,5,1,4,1,1,6,1,1,1,1,7,3,1,1,4,4.33333333333333,3,4,1.66666666666667,1,1,1,6,1,6,2,2,6,1,7,1,2,6,2,7,3.5,1,1,1,3,1,1,2,2,1,1,2,2,1,1,1,3,1,1,1,2,2,3,3,2,9,4,1,1,2,2,2,3,3,2,4,2,2,2,3,4,4,1,2,2,5,5,3,4,3,4,4,3,3,2,1,2,2,3,1,4,3,3,1,1,1,2,2,4,1,3,2,2,2,3,4,2,2,3,3,2,3,2.3,6,2,5,5,4,5,5,6,5.14285714285714,4,1,4,1,1,6,1,4,4,4,2,2.25,6,6,6,6,5,5.8,2,1,1,1,1,1,1,3,1,2,4,1,3,1,1,1,4,5,3,4,2,1.9375,3,4,5,1,3,3,4,4,3,4,2,4,5,1,4,3,4,5,1,2,4,3,2,2,3,4,2,2,2,3.25,2.5,4.25,1.5,3,4,2,7,6,6,1,7,4,3,6,1,4,4,1,1,1,1,6,7,2,2,7,7,4,7,7,6.5,7,2.75,2.5,6.75,2.625,4.125,"Baden-Württemberg"
"EehgnObqhM8udON","Baseline","2020-03-30 22:07:48","2020-03-30 22:42:00",1,35,3,4,5,1,TRUE,FALSE,FALSE,4,2,2,1,1,1,1,2,2,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,9,8,3,1,5,5,1,10,4,1,4,1,4,30,10,0,6,2,3,6,3,7,2,7,2,6,3,1,1,NA,1,3,2,1,1,1,NA,3,3,1,3,1,1,0,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,6,6,6,6,4,6,1,2,1,3,5,1,1,1,6,6,5,5.33333333333333,1.33333333333333,2,1.66666666666667,5,5,5,5,3,6,6,6,6,2,3,5,2,2,4.1,3,2,1,2,1,1,3,3,2,1,1,3,3,3,3,3,1,2,1,2,3,2,2,2,19,4,2,1,2,3,5,3,5,4,4,4,4,2,1,3,4,4,4,3,4,5,5,4,3,4,3,2,2,3,2,1,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,3,3,4,2,3,3,2,2,2,3,2.45,5,2,6,5,4,5,6,6,5.28571428571429,5,1,6,1,1,5,5,1,3,2,3,2.125,6,6,6,6,4,5.6,2,3,4,2,2,3,1,4,4,2,4,2,3,2,1,2,4,2,2,4,2,2.4375,2,3,4,2,4,5,4,4,2,5,2,2,3,2,4,4,3,3,2,3,2,4,3,2,4,4,4,3,4,4.25,3.5,3,2.5,4,3,3,6,6,7,5,5,4,4,3,1,1,6,2,2,2,2,5,5,3,4,3,7,7,6,6,4.25,5.75,4,4,5,4,1,"Berlin"
"fXIksW8WMjzn4Hv","Baseline","2020-03-30 22:10:18","2020-03-30 22:40:52",1,46,5,8,7,1,FALSE,FALSE,TRUE,5,2,3,1,1,1,1,3,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,1,NA,6,NA,1,15,8,5,5,5,3,0,7,0,4,4,1,4,2,6,2,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Berlin"
